epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
33,2020-08-13,141,RJ,Belford Roxo,3300456,city,3617,707.95802,0,227,0,0.0628,510906,False,True
33,2020-08-12,140,RJ,Belford Roxo,3300456,city,3617,707.95802,71,227,3,0.0628,510906,True,False
33,2020-08-11,139,RJ,Belford Roxo,3300456,city,3546,694.06114,70,224,1,0.0632,510906,False,False
33,2020-08-10,138,RJ,Belford Roxo,3300456,city,3476,680.35999,138,223,0,0.0642,510906,False,False
33,2020-08-09,137,RJ,Belford Roxo,3300456,city,3338,653.34915,15,223,0,0.0668,510906,False,False
32,2020-08-08,136,RJ,Belford Roxo,3300456,city,3323,650.41319,688,223,0,0.0671,510906,False,False
32,2020-08-07,135,RJ,Belford Roxo,3300456,city,2635,515.75045,12,223,1,0.0846,510906,False,False
32,2020-08-06,134,RJ,Belford Roxo,3300456,city,2623,513.40168,43,222,1,0.0846,510906,False,False
32,2020-08-05,133,RJ,Belford Roxo,3300456,city,2580,504.98526,258,221,5,0.0857,510906,False,False
32,2020-08-04,132,RJ,Belford Roxo,3300456,city,2322,454.48674,7,216,6,0.093,510906,False,False
32,2020-08-03,131,RJ,Belford Roxo,3300456,city,2315,453.11662,110,210,1,0.0907,510906,False,False
32,2020-08-02,130,RJ,Belford Roxo,3300456,city,2205,431.58624,0,209,0,0.0948,510906,False,False
31,2020-08-01,129,RJ,Belford Roxo,3300456,city,2205,431.58624,55,209,0,0.0948,510906,False,False
31,2020-07-31,128,RJ,Belford Roxo,3300456,city,2150,420.82105,49,209,0,0.0972,510906,False,False
31,2020-07-30,127,RJ,Belford Roxo,3300456,city,2101,411.23025,21,209,3,0.0995,510906,False,False
31,2020-07-29,126,RJ,Belford Roxo,3300456,city,2080,407.1199,34,206,1,0.099,510906,False,False
31,2020-07-28,125,RJ,Belford Roxo,3300456,city,2046,400.46506,15,205,-1,0.1002,510906,False,False
31,2020-07-27,124,RJ,Belford Roxo,3300456,city,2031,397.5291,9,206,0,0.1014,510906,False,False
31,2020-07-26,123,RJ,Belford Roxo,3300456,city,2022,395.76752,1,206,1,0.1019,510906,False,False
30,2020-07-25,122,RJ,Belford Roxo,3300456,city,2021,395.57179,8,205,1,0.1014,510906,False,False
30,2020-07-24,121,RJ,Belford Roxo,3300456,city,2013,394.00594,89,204,2,0.1013,510906,False,False
30,2020-07-23,120,RJ,Belford Roxo,3300456,city,1924,376.58591,19,202,1,0.105,510906,False,False
30,2020-07-22,119,RJ,Belford Roxo,3300456,city,1905,372.86702,87,201,2,0.1055,510906,False,False
30,2020-07-21,118,RJ,Belford Roxo,3300456,city,1818,355.83845,138,199,4,0.1095,510906,False,False
30,2020-07-20,117,RJ,Belford Roxo,3300456,city,1680,328.82761,21,195,1,0.1161,510906,False,False
30,2020-07-19,116,RJ,Belford Roxo,3300456,city,1659,324.71727,21,194,1,0.1169,510906,False,False
29,2020-07-18,115,RJ,Belford Roxo,3300456,city,1638,320.60692,0,193,0,0.1178,510906,False,True
29,2020-07-17,114,RJ,Belford Roxo,3300456,city,1638,320.60692,10,193,0,0.1178,510906,False,False
29,2020-07-16,113,RJ,Belford Roxo,3300456,city,1628,318.64961,0,193,0,0.1186,510906,False,False
29,2020-07-15,112,RJ,Belford Roxo,3300456,city,1628,318.64961,21,193,3,0.1186,510906,False,False
29,2020-07-14,111,RJ,Belford Roxo,3300456,city,1607,314.53927,6,190,2,0.1182,510906,False,False
29,2020-07-13,110,RJ,Belford Roxo,3300456,city,1601,313.36489,20,188,0,0.1174,510906,False,False
29,2020-07-12,109,RJ,Belford Roxo,3300456,city,1581,309.45027,0,188,0,0.1189,510906,False,False
28,2020-07-11,108,RJ,Belford Roxo,3300456,city,1581,309.45027,2,188,1,0.1189,510906,False,False
28,2020-07-10,107,RJ,Belford Roxo,3300456,city,1579,309.05881,3,187,1,0.1184,510906,False,False
28,2020-07-09,106,RJ,Belford Roxo,3300456,city,1576,308.47162,3,186,2,0.118,510906,False,False
28,2020-07-08,105,RJ,Belford Roxo,3300456,city,1573,307.88442,28,184,0,0.117,510906,False,False
28,2020-07-07,104,RJ,Belford Roxo,3300456,city,1545,302.40396,17,184,1,0.1191,510906,False,False
28,2020-07-06,103,RJ,Belford Roxo,3300456,city,1528,299.07654,4,183,1,0.1198,510906,False,False
28,2020-07-05,102,RJ,Belford Roxo,3300456,city,1524,298.29362,4,182,1,0.1194,510906,False,False
27,2020-07-04,101,RJ,Belford Roxo,3300456,city,1520,297.5107,19,181,1,0.1191,510906,False,False
27,2020-07-03,100,RJ,Belford Roxo,3300456,city,1501,293.79181,15,180,0,0.1199,510906,False,False
27,2020-07-02,99,RJ,Belford Roxo,3300456,city,1486,290.85585,26,180,3,0.1211,510906,False,False
27,2020-07-01,98,RJ,Belford Roxo,3300456,city,1460,285.76685,32,177,0,0.1212,510906,False,False
27,2020-06-30,97,RJ,Belford Roxo,3300456,city,1428,279.50347,5,177,2,0.1239,510906,False,False
27,2020-06-29,96,RJ,Belford Roxo,3300456,city,1423,278.52482,5,175,0,0.123,510906,False,False
27,2020-06-28,95,RJ,Belford Roxo,3300456,city,1418,277.54616,14,175,0,0.1234,510906,False,False
26,2020-06-27,94,RJ,Belford Roxo,3300456,city,1404,274.80593,0,175,3,0.1246,510906,False,False
26,2020-06-26,93,RJ,Belford Roxo,3300456,city,1404,274.80593,25,172,2,0.1225,510906,False,False
26,2020-06-25,92,RJ,Belford Roxo,3300456,city,1379,269.91266,24,170,7,0.1233,510906,False,False
26,2020-06-24,91,RJ,Belford Roxo,3300456,city,1355,265.21513,26,163,0,0.1203,510906,False,False
26,2020-06-23,90,RJ,Belford Roxo,3300456,city,1329,260.12613,35,163,1,0.1226,510906,False,False
26,2020-06-22,89,RJ,Belford Roxo,3300456,city,1294,253.27555,26,162,1,0.1252,510906,False,False
