epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
33,2020-08-13,134,RJ,Mesquita,3302858,city,1070,607.59896,0,144,0,0.1346,176103,False,True
33,2020-08-12,133,RJ,Mesquita,3302858,city,1070,607.59896,3,144,0,0.1346,176103,True,False
33,2020-08-11,132,RJ,Mesquita,3302858,city,1067,605.89541,2,144,0,0.135,176103,False,False
33,2020-08-10,131,RJ,Mesquita,3302858,city,1065,604.75971,9,144,0,0.1352,176103,False,False
33,2020-08-09,130,RJ,Mesquita,3302858,city,1056,599.64907,0,144,0,0.1364,176103,False,False
32,2020-08-08,129,RJ,Mesquita,3302858,city,1056,599.64907,7,144,1,0.1364,176103,False,False
32,2020-08-07,128,RJ,Mesquita,3302858,city,1049,595.67412,16,143,1,0.1363,176103,False,False
32,2020-08-06,127,RJ,Mesquita,3302858,city,1033,586.58853,6,142,1,0.1375,176103,False,False
32,2020-08-05,126,RJ,Mesquita,3302858,city,1027,583.18143,20,141,1,0.1373,176103,False,False
32,2020-08-04,125,RJ,Mesquita,3302858,city,1007,571.82444,2,140,2,0.139,176103,False,False
32,2020-08-03,124,RJ,Mesquita,3302858,city,1005,570.68874,2,138,2,0.1373,176103,False,False
32,2020-08-02,123,RJ,Mesquita,3302858,city,1003,569.55305,0,136,0,0.1356,176103,False,False
31,2020-08-01,122,RJ,Mesquita,3302858,city,1003,569.55305,18,136,1,0.1356,176103,False,False
31,2020-07-31,121,RJ,Mesquita,3302858,city,985,559.33175,19,135,0,0.1371,176103,False,False
31,2020-07-30,120,RJ,Mesquita,3302858,city,966,548.54261,13,135,7,0.1398,176103,False,False
31,2020-07-29,119,RJ,Mesquita,3302858,city,953,541.16057,11,128,4,0.1343,176103,False,False
31,2020-07-28,118,RJ,Mesquita,3302858,city,942,534.91423,4,124,-1,0.1316,176103,False,False
31,2020-07-27,117,RJ,Mesquita,3302858,city,938,532.64283,0,125,0,0.1333,176103,False,False
31,2020-07-26,116,RJ,Mesquita,3302858,city,938,532.64283,0,125,0,0.1333,176103,False,False
30,2020-07-25,115,RJ,Mesquita,3302858,city,938,532.64283,8,125,2,0.1333,176103,False,False
30,2020-07-24,114,RJ,Mesquita,3302858,city,930,528.10003,5,123,2,0.1323,176103,False,False
30,2020-07-23,113,RJ,Mesquita,3302858,city,925,525.26078,11,121,1,0.1308,176103,False,False
30,2020-07-22,112,RJ,Mesquita,3302858,city,914,519.01444,9,120,0,0.1313,176103,False,False
30,2020-07-21,111,RJ,Mesquita,3302858,city,905,513.90379,68,120,3,0.1326,176103,False,False
30,2020-07-20,110,RJ,Mesquita,3302858,city,837,475.29003,15,117,1,0.1398,176103,False,False
30,2020-07-19,109,RJ,Mesquita,3302858,city,822,466.77229,6,116,0,0.1411,176103,False,False
29,2020-07-18,108,RJ,Mesquita,3302858,city,816,463.36519,0,116,0,0.1422,176103,False,True
29,2020-07-17,107,RJ,Mesquita,3302858,city,816,463.36519,0,116,0,0.1422,176103,False,False
29,2020-07-16,106,RJ,Mesquita,3302858,city,816,463.36519,0,116,0,0.1422,176103,False,False
29,2020-07-15,105,RJ,Mesquita,3302858,city,816,463.36519,10,116,1,0.1422,176103,False,False
29,2020-07-14,104,RJ,Mesquita,3302858,city,806,457.68669,1,115,0,0.1427,176103,False,False
29,2020-07-13,103,RJ,Mesquita,3302858,city,805,457.11885,9,115,0,0.1429,176103,False,False
