epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
33,2020-08-13,133,RJ,Nilópolis,3303203,city,990,609.28701,0,133,0,0.1343,162485,False,True
33,2020-08-12,132,RJ,Nilópolis,3303203,city,990,609.28701,13,133,1,0.1343,162485,True,False
33,2020-08-11,131,RJ,Nilópolis,3303203,city,977,601.28627,2,132,0,0.1351,162485,False,False
33,2020-08-10,130,RJ,Nilópolis,3303203,city,975,600.05539,1,132,0,0.1354,162485,False,False
33,2020-08-09,129,RJ,Nilópolis,3303203,city,974,599.43995,1,132,0,0.1355,162485,False,False
32,2020-08-08,128,RJ,Nilópolis,3303203,city,973,598.82451,6,132,1,0.1357,162485,False,False
32,2020-08-07,127,RJ,Nilópolis,3303203,city,967,595.13186,5,131,0,0.1355,162485,False,False
32,2020-08-06,126,RJ,Nilópolis,3303203,city,962,592.05465,5,131,2,0.1362,162485,False,False
32,2020-08-05,125,RJ,Nilópolis,3303203,city,957,588.97744,18,129,1,0.1348,162485,False,False
32,2020-08-04,124,RJ,Nilópolis,3303203,city,939,577.8995,2,128,2,0.1363,162485,False,False
32,2020-08-03,123,RJ,Nilópolis,3303203,city,937,576.66862,2,126,0,0.1345,162485,False,False
32,2020-08-02,122,RJ,Nilópolis,3303203,city,935,575.43773,0,126,0,0.1348,162485,False,False
31,2020-08-01,121,RJ,Nilópolis,3303203,city,935,575.43773,9,126,2,0.1348,162485,False,False
31,2020-07-31,120,RJ,Nilópolis,3303203,city,926,569.89876,13,124,0,0.1339,162485,False,False
31,2020-07-30,119,RJ,Nilópolis,3303203,city,913,561.89802,10,124,1,0.1358,162485,False,False
31,2020-07-29,118,RJ,Nilópolis,3303203,city,903,555.74361,11,123,6,0.1362,162485,False,False
31,2020-07-28,117,RJ,Nilópolis,3303203,city,892,548.97375,15,117,10,0.1312,162485,False,False
31,2020-07-27,116,RJ,Nilópolis,3303203,city,877,539.74213,1,107,0,0.122,162485,False,False
31,2020-07-26,115,RJ,Nilópolis,3303203,city,876,539.12669,0,107,0,0.1221,162485,False,False
30,2020-07-25,114,RJ,Nilópolis,3303203,city,876,539.12669,3,107,2,0.1221,162485,False,False
30,2020-07-24,113,RJ,Nilópolis,3303203,city,873,537.28036,10,105,1,0.1203,162485,False,False
30,2020-07-23,112,RJ,Nilópolis,3303203,city,863,531.12595,12,104,0,0.1205,162485,False,False
30,2020-07-22,111,RJ,Nilópolis,3303203,city,851,523.74065,14,104,2,0.1222,162485,False,False
30,2020-07-21,110,RJ,Nilópolis,3303203,city,837,515.12447,21,102,2,0.1219,162485,False,False
30,2020-07-20,109,RJ,Nilópolis,3303203,city,816,502.2002,8,100,1,0.1225,162485,False,False
30,2020-07-19,108,RJ,Nilópolis,3303203,city,808,497.27667,10,99,4,0.1225,162485,False,False
