epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
33,2020-08-13,155,RJ,Niterói,3303302,city,9599,1869.0224,0,314,0,0.0327,513584,False,True
33,2020-08-12,154,RJ,Niterói,3303302,city,9599,1869.0224,0,314,0,0.0327,513584,True,False
33,2020-08-11,153,RJ,Niterói,3303302,city,9599,1869.0224,219,314,4,0.0327,513584,False,False
33,2020-08-10,152,RJ,Niterói,3303302,city,9380,1826.38088,0,310,0,0.033,513584,False,False
33,2020-08-09,151,RJ,Niterói,3303302,city,9380,1826.38088,90,310,0,0.033,513584,False,False
32,2020-08-08,150,RJ,Niterói,3303302,city,9290,1808.85697,211,310,1,0.0334,513584,False,False
32,2020-08-07,149,RJ,Niterói,3303302,city,9079,1767.77314,0,309,0,0.034,513584,False,False
32,2020-08-06,148,RJ,Niterói,3303302,city,9079,1767.77314,0,309,0,0.034,513584,False,False
32,2020-08-05,147,RJ,Niterói,3303302,city,9079,1767.77314,0,309,0,0.034,513584,False,False
32,2020-08-04,146,RJ,Niterói,3303302,city,9079,1767.77314,0,309,0,0.034,513584,False,False
32,2020-08-03,145,RJ,Niterói,3303302,city,9079,1767.77314,0,309,0,0.034,513584,False,False
32,2020-08-02,144,RJ,Niterói,3303302,city,9079,1767.77314,0,309,0,0.034,513584,False,False
31,2020-08-01,143,RJ,Niterói,3303302,city,9079,1767.77314,0,309,0,0.034,513584,False,False
31,2020-07-31,142,RJ,Niterói,3303302,city,9079,1767.77314,99,309,9,0.034,513584,False,False
31,2020-07-30,141,RJ,Niterói,3303302,city,8980,1748.49684,81,300,7,0.0334,513584,False,False
31,2020-07-29,140,RJ,Niterói,3303302,city,8899,1732.72532,94,293,-1,0.0329,513584,False,False
31,2020-07-28,139,RJ,Niterói,3303302,city,8805,1714.42257,112,294,2,0.0334,513584,False,False
31,2020-07-27,138,RJ,Niterói,3303302,city,8693,1692.61503,11,292,0,0.0336,513584,False,False
31,2020-07-26,137,RJ,Niterói,3303302,city,8682,1690.47322,0,292,0,0.0336,513584,False,False
30,2020-07-25,136,RJ,Niterói,3303302,city,8682,1690.47322,109,292,9,0.0336,513584,False,False
30,2020-07-24,135,RJ,Niterói,3303302,city,8573,1669.24982,118,283,10,0.033,513584,False,False
30,2020-07-23,134,RJ,Niterói,3303302,city,8455,1646.27403,134,273,2,0.0323,513584,False,False
30,2020-07-22,133,RJ,Niterói,3303302,city,8321,1620.18287,94,271,0,0.0326,513584,False,False
30,2020-07-21,132,RJ,Niterói,3303302,city,8227,1601.88012,220,271,1,0.0329,513584,False,False
30,2020-07-20,131,RJ,Niterói,3303302,city,8007,1559.0439,282,270,0,0.0337,513584,False,False
30,2020-07-19,130,RJ,Niterói,3303302,city,7725,1504.13564,262,270,9,0.035,513584,False,False
