epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
33,2020-08-13,139,RJ,Nova Iguaçu,3303500,city,4536,552.41083,0,459,0,0.1012,821128,False,True
33,2020-08-12,138,RJ,Nova Iguaçu,3303500,city,4536,552.41083,47,459,1,0.1012,821128,True,False
33,2020-08-11,137,RJ,Nova Iguaçu,3303500,city,4489,546.687,28,458,2,0.102,821128,False,False
33,2020-08-10,136,RJ,Nova Iguaçu,3303500,city,4461,543.27705,18,456,2,0.1022,821128,False,False
33,2020-08-09,135,RJ,Nova Iguaçu,3303500,city,4443,541.08495,6,454,3,0.1022,821128,False,False
32,2020-08-08,134,RJ,Nova Iguaçu,3303500,city,4437,540.35424,58,451,2,0.1016,821128,False,False
32,2020-08-07,133,RJ,Nova Iguaçu,3303500,city,4379,533.29079,49,449,3,0.1025,821128,False,False
32,2020-08-06,132,RJ,Nova Iguaçu,3303500,city,4330,527.32339,45,446,3,0.103,821128,False,False
32,2020-08-05,131,RJ,Nova Iguaçu,3303500,city,4285,521.84312,78,443,2,0.1034,821128,False,False
32,2020-08-04,130,RJ,Nova Iguaçu,3303500,city,4207,512.344,9,441,6,0.1048,821128,False,False
32,2020-08-03,129,RJ,Nova Iguaçu,3303500,city,4198,511.24794,10,435,4,0.1036,821128,False,False
32,2020-08-02,128,RJ,Nova Iguaçu,3303500,city,4188,510.0301,0,431,0,0.1029,821128,False,False
31,2020-08-01,127,RJ,Nova Iguaçu,3303500,city,4188,510.0301,46,431,2,0.1029,821128,False,False
31,2020-07-31,126,RJ,Nova Iguaçu,3303500,city,4142,504.42806,22,429,2,0.1036,821128,False,False
31,2020-07-30,125,RJ,Nova Iguaçu,3303500,city,4120,501.74881,34,427,2,0.1036,821128,False,False
31,2020-07-29,124,RJ,Nova Iguaçu,3303500,city,4086,497.60817,28,425,4,0.104,821128,False,False
31,2020-07-28,123,RJ,Nova Iguaçu,3303500,city,4058,494.19822,48,421,4,0.1037,821128,False,False
31,2020-07-27,122,RJ,Nova Iguaçu,3303500,city,4010,488.35261,4,417,0,0.104,821128,False,False
31,2020-07-26,121,RJ,Nova Iguaçu,3303500,city,4006,487.86547,0,417,0,0.1041,821128,False,False
30,2020-07-25,120,RJ,Nova Iguaçu,3303500,city,4006,487.86547,21,417,5,0.1041,821128,False,False
30,2020-07-24,119,RJ,Nova Iguaçu,3303500,city,3985,485.30802,55,412,1,0.1034,821128,False,False
30,2020-07-23,118,RJ,Nova Iguaçu,3303500,city,3930,478.60991,43,411,4,0.1046,821128,False,False
30,2020-07-22,117,RJ,Nova Iguaçu,3303500,city,3887,473.37321,45,407,8,0.1047,821128,False,False
