epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
33,2020-08-13,137,RJ,Queimados,3304144,city,2090,1390.37647,0,44,0,0.0211,150319,False,True
33,2020-08-12,136,RJ,Queimados,3304144,city,2090,1390.37647,14,44,0,0.0211,150319,True,False
33,2020-08-11,135,RJ,Queimados,3304144,city,2076,1381.06294,3,44,0,0.0212,150319,False,False
33,2020-08-10,134,RJ,Queimados,3304144,city,2073,1379.06718,-2,44,0,0.0212,150319,False,False
33,2020-08-09,133,RJ,Queimados,3304144,city,2075,1380.39769,2,44,1,0.0212,150319,False,False
32,2020-08-08,132,RJ,Queimados,3304144,city,2073,1379.06718,13,43,0,0.0207,150319,False,False
32,2020-08-07,131,RJ,Queimados,3304144,city,2060,1370.41891,-2,43,0,0.0209,150319,False,False
32,2020-08-06,130,RJ,Queimados,3304144,city,2062,1371.74941,8,43,0,0.0209,150319,False,False
32,2020-08-05,129,RJ,Queimados,3304144,city,2054,1366.4274,17,43,2,0.0209,150319,False,False
32,2020-08-04,128,RJ,Queimados,3304144,city,2037,1355.11812,1,41,0,0.0201,150319,False,False
32,2020-08-03,127,RJ,Queimados,3304144,city,2036,1354.45286,14,41,0,0.0201,150319,False,False
32,2020-08-02,126,RJ,Queimados,3304144,city,2022,1345.13934,0,41,0,0.0203,150319,False,False
31,2020-08-01,125,RJ,Queimados,3304144,city,2022,1345.13934,5,41,1,0.0203,150319,False,False
31,2020-07-31,124,RJ,Queimados,3304144,city,2017,1341.81308,5,40,0,0.0198,150319,False,False
31,2020-07-30,123,RJ,Queimados,3304144,city,2012,1338.48682,15,40,0,0.0199,150319,False,False
31,2020-07-29,122,RJ,Queimados,3304144,city,1997,1328.50804,8,40,1,0.02,150319,False,False
31,2020-07-28,121,RJ,Queimados,3304144,city,1989,1323.18602,32,39,1,0.0196,150319,False,False
31,2020-07-27,120,RJ,Queimados,3304144,city,1957,1301.89796,0,38,0,0.0194,150319,False,False
31,2020-07-26,119,RJ,Queimados,3304144,city,1957,1301.89796,0,38,0,0.0194,150319,False,False
30,2020-07-25,118,RJ,Queimados,3304144,city,1957,1301.89796,25,38,0,0.0194,150319,False,False
30,2020-07-24,117,RJ,Queimados,3304144,city,1932,1285.26667,7,38,0,0.0197,150319,False,False
30,2020-07-23,116,RJ,Queimados,3304144,city,1925,1280.6099,12,38,0,0.0197,150319,False,False
30,2020-07-22,115,RJ,Queimados,3304144,city,1913,1272.62688,27,38,0,0.0199,150319,False,False
30,2020-07-21,114,RJ,Queimados,3304144,city,1886,1254.66508,-91,38,0,0.0201,150319,False,False
30,2020-07-20,113,RJ,Queimados,3304144,city,1977,1315.203,47,38,0,0.0192,150319,False,False
30,2020-07-19,112,RJ,Queimados,3304144,city,1930,1283.93616,31,38,1,0.0197,150319,False,False
29,2020-07-18,111,RJ,Queimados,3304144,city,1899,1263.31335,0,37,0,0.0195,150319,False,True
29,2020-07-17,110,RJ,Queimados,3304144,city,1899,1263.31335,41,37,0,0.0195,150319,False,False
29,2020-07-16,109,RJ,Queimados,3304144,city,1858,1236.03803,1,37,1,0.0199,150319,False,False
29,2020-07-15,108,RJ,Queimados,3304144,city,1857,1235.37277,22,36,0,0.0194,150319,False,False
