epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
33,2020-08-13,161,RJ,Rio de Janeiro,3304557,city,77627,1155.35229,0,8710,0,0.1122,6718903,False,True
33,2020-08-12,160,RJ,Rio de Janeiro,3304557,city,77627,1155.35229,1525,8710,45,0.1122,6718903,True,False
33,2020-08-11,159,RJ,Rio de Janeiro,3304557,city,76102,1132.65514,1428,8665,43,0.1139,6718903,False,False
33,2020-08-10,158,RJ,Rio de Janeiro,3304557,city,74674,1111.40167,253,8622,10,0.1155,6718903,False,False
33,2020-08-09,157,RJ,Rio de Janeiro,3304557,city,74421,1107.63617,18,8612,6,0.1157,6718903,False,False
32,2020-08-08,156,RJ,Rio de Janeiro,3304557,city,74403,1107.36827,548,8606,10,0.1157,6718903,False,False
32,2020-08-07,155,RJ,Rio de Janeiro,3304557,city,73855,1099.21218,338,8596,56,0.1164,6718903,False,False
32,2020-08-06,154,RJ,Rio de Janeiro,3304557,city,73517,1094.18159,121,8540,41,0.1162,6718903,False,False
32,2020-08-05,153,RJ,Rio de Janeiro,3304557,city,73396,1092.38071,674,8499,80,0.1158,6718903,False,False
32,2020-08-04,152,RJ,Rio de Janeiro,3304557,city,72722,1082.34931,643,8419,48,0.1158,6718903,False,False
32,2020-08-03,151,RJ,Rio de Janeiro,3304557,city,72079,1072.77929,277,8371,13,0.1161,6718903,False,False
32,2020-08-02,150,RJ,Rio de Janeiro,3304557,city,71802,1068.65659,10,8358,14,0.1164,6718903,False,False
31,2020-08-01,149,RJ,Rio de Janeiro,3304557,city,71792,1068.50776,470,8344,34,0.1162,6718903,False,False
31,2020-07-31,148,RJ,Rio de Janeiro,3304557,city,71322,1061.51257,333,8310,40,0.1165,6718903,False,False
31,2020-07-30,147,RJ,Rio de Janeiro,3304557,city,70989,1056.55641,297,8270,50,0.1165,6718903,False,False
31,2020-07-29,146,RJ,Rio de Janeiro,3304557,city,70692,1052.13604,252,8220,96,0.1163,6718903,False,False
31,2020-07-28,145,RJ,Rio de Janeiro,3304557,city,70440,1048.38543,70,8124,71,0.1153,6718903,False,False
31,2020-07-27,144,RJ,Rio de Janeiro,3304557,city,70370,1047.34359,800,8053,30,0.1144,6718903,False,False
31,2020-07-26,143,RJ,Rio de Janeiro,3304557,city,69570,1035.43689,24,8023,19,0.1153,6718903,False,False
30,2020-07-25,142,RJ,Rio de Janeiro,3304557,city,69546,1035.07968,90,8004,63,0.1151,6718903,False,False
30,2020-07-24,141,RJ,Rio de Janeiro,3304557,city,69456,1033.74018,946,7941,28,0.1143,6718903,False,False
30,2020-07-23,140,RJ,Rio de Janeiro,3304557,city,68510,1019.6605,176,7913,26,0.1155,6718903,False,False
30,2020-07-22,139,RJ,Rio de Janeiro,3304557,city,68334,1017.04103,1213,7887,91,0.1154,6718903,False,False
30,2020-07-21,138,RJ,Rio de Janeiro,3304557,city,67121,998.98748,85,7796,63,0.1161,6718903,False,False
30,2020-07-20,137,RJ,Rio de Janeiro,3304557,city,67036,997.7224,127,7733,30,0.1154,6718903,False,False
30,2020-07-19,136,RJ,Rio de Janeiro,3304557,city,66909,995.83221,1213,7703,82,0.1151,6718903,False,False
29,2020-07-18,135,RJ,Rio de Janeiro,3304557,city,65696,977.77866,0,7621,0,0.116,6718903,False,True
29,2020-07-17,134,RJ,Rio de Janeiro,3304557,city,65696,977.77866,125,7621,71,0.116,6718903,False,False
29,2020-07-16,133,RJ,Rio de Janeiro,3304557,city,65571,975.91824,82,7550,50,0.1151,6718903,False,False
29,2020-07-15,132,RJ,Rio de Janeiro,3304557,city,65489,974.6978,368,7500,68,0.1145,6718903,False,False
29,2020-07-14,131,RJ,Rio de Janeiro,3304557,city,65121,969.22072,486,7432,77,0.1141,6718903,False,False
29,2020-07-13,130,RJ,Rio de Janeiro,3304557,city,64635,961.9874,525,7355,45,0.1138,6718903,False,False
29,2020-07-12,129,RJ,Rio de Janeiro,3304557,city,64110,954.17362,8,7310,8,0.114,6718903,False,False
28,2020-07-11,128,RJ,Rio de Janeiro,3304557,city,64102,954.05455,75,7302,48,0.1139,6718903,False,False
28,2020-07-10,127,RJ,Rio de Janeiro,3304557,city,64027,952.9383,631,7254,76,0.1133,6718903,False,False
28,2020-07-09,126,RJ,Rio de Janeiro,3304557,city,63396,943.54689,933,7178,77,0.1132,6718903,False,False
28,2020-07-08,125,RJ,Rio de Janeiro,3304557,city,62463,929.66069,805,7101,46,0.1137,6718903,False,False
28,2020-07-07,124,RJ,Rio de Janeiro,3304557,city,61658,917.67957,1062,7055,131,0.1144,6718903,False,False
28,2020-07-06,123,RJ,Rio de Janeiro,3304557,city,60596,901.87342,363,6924,26,0.1143,6718903,False,False
28,2020-07-05,122,RJ,Rio de Janeiro,3304557,city,60233,896.47075,200,6898,29,0.1145,6718903,False,False
27,2020-07-04,121,RJ,Rio de Janeiro,3304557,city,60033,893.49407,585,6869,78,0.1144,6718903,False,False
27,2020-07-03,120,RJ,Rio de Janeiro,3304557,city,59448,884.78729,833,6791,102,0.1142,6718903,False,False
27,2020-07-02,119,RJ,Rio de Janeiro,3304557,city,58615,872.38944,736,6689,71,0.1141,6718903,False,False
27,2020-07-01,118,RJ,Rio de Janeiro,3304557,city,57879,861.43527,943,6618,68,0.1143,6718903,False,False
27,2020-06-30,117,RJ,Rio de Janeiro,3304557,city,56936,847.40024,585,6550,133,0.115,6718903,False,False
27,2020-06-29,116,RJ,Rio de Janeiro,3304557,city,56351,838.69346,291,6417,24,0.1139,6718903,False,False
27,2020-06-28,115,RJ,Rio de Janeiro,3304557,city,56060,834.3624,774,6393,27,0.114,6718903,False,False
26,2020-06-27,114,RJ,Rio de Janeiro,3304557,city,55286,822.84266,134,6366,102,0.1151,6718903,False,False
26,2020-06-26,113,RJ,Rio de Janeiro,3304557,city,55152,820.84828,983,6264,103,0.1136,6718903,False,False
26,2020-06-25,112,RJ,Rio de Janeiro,3304557,city,54169,806.21792,862,6161,74,0.1137,6718903,False,False
26,2020-06-24,111,RJ,Rio de Janeiro,3304557,city,53307,793.38844,982,6087,87,0.1142,6718903,False,False
26,2020-06-23,110,RJ,Rio de Janeiro,3304557,city,52325,778.77296,1403,6000,125,0.1147,6718903,False,False
26,2020-06-22,109,RJ,Rio de Janeiro,3304557,city,50922,757.89158,492,5875,43,0.1154,6718903,False,False
26,2020-06-21,108,RJ,Rio de Janeiro,3304557,city,50430,750.56895,301,5832,41,0.1156,6718903,False,False
25,2020-06-20,107,RJ,Rio de Janeiro,3304557,city,50129,746.08906,1376,5791,159,0.1155,6718903,False,False
25,2020-06-19,106,RJ,Rio de Janeiro,3304557,city,48753,725.60952,2498,5632,124,0.1155,6718903,False,False
25,2020-06-18,105,RJ,Rio de Janeiro,3304557,city,46255,688.43083,277,5508,165,0.1191,6718903,False,False
