epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
33,2020-08-13,137,RJ,São João de Meriti,3305109,city,2548,539.36656,0,338,0,0.1327,472406,False,True
33,2020-08-12,136,RJ,São João de Meriti,3305109,city,2548,539.36656,26,338,2,0.1327,472406,True,False
33,2020-08-11,135,RJ,São João de Meriti,3305109,city,2522,533.86282,11,336,1,0.1332,472406,False,False
33,2020-08-10,134,RJ,São João de Meriti,3305109,city,2511,531.53432,24,335,0,0.1334,472406,False,False
33,2020-08-09,133,RJ,São João de Meriti,3305109,city,2487,526.45394,29,335,0,0.1347,472406,False,False
32,2020-08-08,132,RJ,São João de Meriti,3305109,city,2458,520.31515,19,335,0,0.1363,472406,False,False
32,2020-08-07,131,RJ,São João de Meriti,3305109,city,2439,516.29319,25,335,5,0.1374,472406,False,False
32,2020-08-06,130,RJ,São João de Meriti,3305109,city,2414,511.00113,19,330,2,0.1367,472406,False,False
32,2020-08-05,129,RJ,São João de Meriti,3305109,city,2395,506.97917,36,328,2,0.137,472406,False,False
32,2020-08-04,128,RJ,São João de Meriti,3305109,city,2359,499.3586,5,326,2,0.1382,472406,False,False
32,2020-08-03,127,RJ,São João de Meriti,3305109,city,2354,498.30019,9,324,1,0.1376,472406,False,False
32,2020-08-02,126,RJ,São João de Meriti,3305109,city,2345,496.39505,0,323,0,0.1377,472406,False,False
31,2020-08-01,125,RJ,São João de Meriti,3305109,city,2345,496.39505,63,323,4,0.1377,472406,False,False
31,2020-07-31,124,RJ,São João de Meriti,3305109,city,2282,483.05906,21,319,4,0.1398,472406,False,False
31,2020-07-30,123,RJ,São João de Meriti,3305109,city,2261,478.61373,18,315,6,0.1393,472406,False,False
31,2020-07-29,122,RJ,São João de Meriti,3305109,city,2243,474.80345,32,309,1,0.1378,472406,False,False
31,2020-07-28,121,RJ,São João de Meriti,3305109,city,2211,468.02962,36,308,1,0.1393,472406,False,False
31,2020-07-27,120,RJ,São João de Meriti,3305109,city,2175,460.40905,7,307,0,0.1411,472406,False,False
31,2020-07-26,119,RJ,São João de Meriti,3305109,city,2168,458.92728,1,307,1,0.1416,472406,False,False
30,2020-07-25,118,RJ,São João de Meriti,3305109,city,2167,458.7156,12,306,5,0.1412,472406,False,False
30,2020-07-24,117,RJ,São João de Meriti,3305109,city,2155,456.17541,35,301,4,0.1397,472406,False,False
30,2020-07-23,116,RJ,São João de Meriti,3305109,city,2120,448.76653,68,297,15,0.1401,472406,False,False
30,2020-07-22,115,RJ,São João de Meriti,3305109,city,2052,434.37213,45,282,4,0.1374,472406,False,False
30,2020-07-21,114,RJ,São João de Meriti,3305109,city,2007,424.84642,50,278,3,0.1385,472406,False,False
30,2020-07-20,113,RJ,São João de Meriti,3305109,city,1957,414.26231,27,275,1,0.1405,472406,False,False
30,2020-07-19,112,RJ,São João de Meriti,3305109,city,1930,408.54689,6,274,4,0.142,472406,False,False
29,2020-07-18,111,RJ,São João de Meriti,3305109,city,1924,407.27679,0,270,0,0.1403,472406,False,True
29,2020-07-17,110,RJ,São João de Meriti,3305109,city,1924,407.27679,-1,270,0,0.1403,472406,False,False
29,2020-07-16,109,RJ,São João de Meriti,3305109,city,1925,407.48847,5,270,5,0.1403,472406,False,False
29,2020-07-15,108,RJ,São João de Meriti,3305109,city,1920,406.43006,31,265,5,0.138,472406,False,False
29,2020-07-14,107,RJ,São João de Meriti,3305109,city,1889,399.86791,3,260,1,0.1376,472406,False,False
29,2020-07-13,106,RJ,São João de Meriti,3305109,city,1886,399.23286,40,259,0,0.1373,472406,False,False
29,2020-07-12,105,RJ,São João de Meriti,3305109,city,1846,390.76557,0,259,0,0.1403,472406,False,False
28,2020-07-11,104,RJ,São João de Meriti,3305109,city,1846,390.76557,9,259,6,0.1403,472406,False,False
28,2020-07-10,103,RJ,São João de Meriti,3305109,city,1837,388.86043,11,253,5,0.1377,472406,False,False
28,2020-07-09,102,RJ,São João de Meriti,3305109,city,1826,386.53192,16,248,4,0.1358,472406,False,False
28,2020-07-08,101,RJ,São João de Meriti,3305109,city,1810,383.14501,24,244,1,0.1348,472406,False,False
28,2020-07-07,100,RJ,São João de Meriti,3305109,city,1786,378.06463,10,243,1,0.1361,472406,False,False
28,2020-07-06,99,RJ,São João de Meriti,3305109,city,1776,375.94781,6,242,0,0.1363,472406,False,False
28,2020-07-05,98,RJ,São João de Meriti,3305109,city,1770,374.67771,6,242,1,0.1367,472406,False,False
27,2020-07-04,97,RJ,São João de Meriti,3305109,city,1764,373.40762,18,241,3,0.1366,472406,False,False
27,2020-07-03,96,RJ,São João de Meriti,3305109,city,1746,369.59734,34,238,12,0.1363,472406,False,False
27,2020-07-02,95,RJ,São João de Meriti,3305109,city,1712,362.40014,24,226,9,0.132,472406,False,False
27,2020-07-01,94,RJ,São João de Meriti,3305109,city,1688,357.31976,33,217,2,0.1286,472406,False,False
27,2020-06-30,93,RJ,São João de Meriti,3305109,city,1655,350.33425,8,215,4,0.1299,472406,False,False
27,2020-06-29,92,RJ,São João de Meriti,3305109,city,1647,348.64079,1,211,0,0.1281,472406,False,False
27,2020-06-28,91,RJ,São João de Meriti,3305109,city,1646,348.42911,23,211,0,0.1282,472406,False,False
26,2020-06-27,90,RJ,São João de Meriti,3305109,city,1623,343.56041,22,211,23,0.13,472406,False,False
26,2020-06-26,89,RJ,São João de Meriti,3305109,city,1601,338.9034,19,188,2,0.1174,472406,False,False
26,2020-06-25,88,RJ,São João de Meriti,3305109,city,1582,334.88144,22,186,3,0.1176,472406,False,False
26,2020-06-24,87,RJ,São João de Meriti,3305109,city,1560,330.22443,33,183,3,0.1173,472406,False,False
26,2020-06-23,86,RJ,São João de Meriti,3305109,city,1527,323.23891,38,180,4,0.1179,472406,False,False
26,2020-06-22,85,RJ,São João de Meriti,3305109,city,1489,315.19498,11,176,1,0.1182,472406,False,False
26,2020-06-21,84,RJ,São João de Meriti,3305109,city,1478,312.86648,9,175,1,0.1184,472406,False,False
25,2020-06-20,83,RJ,São João de Meriti,3305109,city,1469,310.96133,24,174,2,0.1184,472406,False,False
25,2020-06-19,82,RJ,São João de Meriti,3305109,city,1445,305.88096,73,172,7,0.119,472406,False,False
25,2020-06-18,81,RJ,São João de Meriti,3305109,city,1372,290.42815,5,165,5,0.1203,472406,False,False
25,2020-06-17,80,RJ,São João de Meriti,3305109,city,1367,289.36974,37,160,3,0.117,472406,False,False
25,2020-06-16,79,RJ,São João de Meriti,3305109,city,1330,281.53749,9,157,4,0.118,472406,False,False
25,2020-06-15,78,RJ,São João de Meriti,3305109,city,1321,279.63235,38,153,2,0.1158,472406,False,False
25,2020-06-14,77,RJ,São João de Meriti,3305109,city,1283,271.58842,13,151,3,0.1177,472406,False,False
24,2020-06-13,76,RJ,São João de Meriti,3305109,city,1270,268.83655,8,148,2,0.1165,472406,False,False
24,2020-06-12,75,RJ,São João de Meriti,3305109,city,1262,267.14309,52,146,1,0.1157,472406,False,False
24,2020-06-11,74,RJ,São João de Meriti,3305109,city,1210,256.13561,29,145,9,0.1198,472406,False,False
24,2020-06-10,73,RJ,São João de Meriti,3305109,city,1181,249.99682,11,136,13,0.1152,472406,False,False
24,2020-06-09,72,RJ,São João de Meriti,3305109,city,1170,247.66832,75,123,8,0.1051,472406,False,False
24,2020-06-08,71,RJ,São João de Meriti,3305109,city,1095,231.79214,-2,115,2,0.105,472406,False,False
24,2020-06-07,70,RJ,São João de Meriti,3305109,city,1097,232.21551,222,113,-1,0.103,472406,False,False
23,2020-06-06,69,RJ,São João de Meriti,3305109,city,875,185.22203,27,114,5,0.1303,472406,False,False
23,2020-06-05,68,RJ,São João de Meriti,3305109,city,848,179.50661,23,109,3,0.1285,472406,False,False
23,2020-06-04,67,RJ,São João de Meriti,3305109,city,825,174.63792,30,106,10,0.1285,472406,False,False
23,2020-06-03,66,RJ,São João de Meriti,3305109,city,795,168.28745,26,96,2,0.1208,472406,False,False
23,2020-06-02,65,RJ,São João de Meriti,3305109,city,769,162.78371,-115,94,4,0.1222,472406,False,False
23,2020-06-01,64,RJ,São João de Meriti,3305109,city,884,187.12717,16,90,4,0.1018,472406,False,False
23,2020-05-31,63,RJ,São João de Meriti,3305109,city,868,183.74026,28,86,1,0.0991,472406,False,False
22,2020-05-30,62,RJ,São João de Meriti,3305109,city,840,177.81315,4,85,4,0.1012,472406,False,False
22,2020-05-29,61,RJ,São João de Meriti,3305109,city,836,176.96642,149,81,4,0.0969,472406,False,False
22,2020-05-28,60,RJ,São João de Meriti,3305109,city,687,145.42576,2,77,2,0.1121,472406,False,False
22,2020-05-27,59,RJ,São João de Meriti,3305109,city,685,145.00239,6,75,6,0.1095,472406,False,False
22,2020-05-26,58,RJ,São João de Meriti,3305109,city,679,143.7323,23,69,2,0.1016,472406,False,False
22,2020-05-25,57,RJ,São João de Meriti,3305109,city,656,138.8636,40,67,0,0.1021,472406,False,False
22,2020-05-24,56,RJ,São João de Meriti,3305109,city,616,130.39631,1,67,1,0.1088,472406,False,False
21,2020-05-23,55,RJ,São João de Meriti,3305109,city,615,130.18463,4,66,4,0.1073,472406,False,False
21,2020-05-22,54,RJ,São João de Meriti,3305109,city,611,129.3379,3,62,3,0.1015,472406,False,False
21,2020-05-21,53,RJ,São João de Meriti,3305109,city,608,128.70285,2,59,4,0.097,472406,False,False
21,2020-05-20,52,RJ,São João de Meriti,3305109,city,606,128.27949,2,55,2,0.0908,472406,False,False
21,2020-05-19,51,RJ,São João de Meriti,3305109,city,604,127.85612,4,53,4,0.0877,472406,False,False
21,2020-05-18,50,RJ,São João de Meriti,3305109,city,600,127.00939,132,49,1,0.0817,472406,False,False
21,2020-05-17,49,RJ,São João de Meriti,3305109,city,468,99.06733,1,48,1,0.1026,472406,False,False
