epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
33,2020-08-13,144,RJ,São Gonçalo,3304904,city,9514,876.99649,0,605,0,0.0636,1084839,False,True
33,2020-08-12,143,RJ,São Gonçalo,3304904,city,9514,876.99649,134,605,2,0.0636,1084839,True,False
33,2020-08-11,142,RJ,São Gonçalo,3304904,city,9380,864.64443,47,603,2,0.0643,1084839,False,False
33,2020-08-10,141,RJ,São Gonçalo,3304904,city,9333,860.31199,35,601,0,0.0644,1084839,False,False
33,2020-08-09,140,RJ,São Gonçalo,3304904,city,9298,857.08571,3,601,0,0.0646,1084839,False,False
32,2020-08-08,139,RJ,São Gonçalo,3304904,city,9295,856.80917,67,601,1,0.0647,1084839,False,False
32,2020-08-07,138,RJ,São Gonçalo,3304904,city,9228,850.63314,122,600,2,0.065,1084839,False,False
32,2020-08-06,137,RJ,São Gonçalo,3304904,city,9106,839.38723,131,598,-2,0.0657,1084839,False,False
32,2020-08-05,136,RJ,São Gonçalo,3304904,city,8975,827.3117,349,600,1,0.0669,1084839,False,False
32,2020-08-04,135,RJ,São Gonçalo,3304904,city,8626,795.14103,16,599,4,0.0694,1084839,False,False
32,2020-08-03,134,RJ,São Gonçalo,3304904,city,8610,793.66616,38,595,2,0.0691,1084839,False,False
32,2020-08-02,133,RJ,São Gonçalo,3304904,city,8572,790.16333,0,593,0,0.0692,1084839,False,False
31,2020-08-01,132,RJ,São Gonçalo,3304904,city,8572,790.16333,155,593,6,0.0692,1084839,False,False
31,2020-07-31,131,RJ,São Gonçalo,3304904,city,8417,775.8755,160,587,8,0.0697,1084839,False,False
31,2020-07-30,130,RJ,São Gonçalo,3304904,city,8257,761.12677,97,579,2,0.0701,1084839,False,False
31,2020-07-29,129,RJ,São Gonçalo,3304904,city,8160,752.18535,141,577,2,0.0707,1084839,False,False
31,2020-07-28,128,RJ,São Gonçalo,3304904,city,8019,739.18803,112,575,4,0.0717,1084839,False,False
31,2020-07-27,127,RJ,São Gonçalo,3304904,city,7907,728.86391,28,571,0,0.0722,1084839,False,False
31,2020-07-26,126,RJ,São Gonçalo,3304904,city,7879,726.28289,-1,571,-1,0.0725,1084839,False,False
30,2020-07-25,125,RJ,São Gonçalo,3304904,city,7880,726.37507,100,572,4,0.0726,1084839,False,False
30,2020-07-24,124,RJ,São Gonçalo,3304904,city,7780,717.15711,254,568,6,0.073,1084839,False,False
30,2020-07-23,123,RJ,São Gonçalo,3304904,city,7526,693.7435,133,562,2,0.0747,1084839,False,False
30,2020-07-22,122,RJ,São Gonçalo,3304904,city,7393,681.48361,184,560,3,0.0757,1084839,False,False
30,2020-07-21,121,RJ,São Gonçalo,3304904,city,7209,664.52257,-90,557,6,0.0773,1084839,False,False
30,2020-07-20,120,RJ,São Gonçalo,3304904,city,7299,672.81873,372,551,0,0.0755,1084839,False,False
30,2020-07-19,119,RJ,São Gonçalo,3304904,city,6927,638.52793,294,551,22,0.0795,1084839,False,False
29,2020-07-18,118,RJ,São Gonçalo,3304904,city,6633,611.42713,0,529,0,0.0798,1084839,False,True
29,2020-07-17,117,RJ,São Gonçalo,3304904,city,6633,611.42713,141,529,0,0.0798,1084839,False,False
29,2020-07-16,116,RJ,São Gonçalo,3304904,city,6492,598.42981,-1,529,-1,0.0815,1084839,False,False
29,2020-07-15,115,RJ,São Gonçalo,3304904,city,6493,598.52199,64,530,9,0.0816,1084839,False,False
29,2020-07-14,114,RJ,São Gonçalo,3304904,city,6429,592.6225,26,521,-1,0.081,1084839,False,False
29,2020-07-13,113,RJ,São Gonçalo,3304904,city,6403,590.22583,220,522,0,0.0815,1084839,False,False
29,2020-07-12,112,RJ,São Gonçalo,3304904,city,6183,569.94632,0,522,0,0.0844,1084839,False,False
28,2020-07-11,111,RJ,São Gonçalo,3304904,city,6183,569.94632,27,522,13,0.0844,1084839,False,False
28,2020-07-10,110,RJ,São Gonçalo,3304904,city,6156,567.45748,136,509,16,0.0827,1084839,False,False
28,2020-07-09,109,RJ,São Gonçalo,3304904,city,6020,554.92105,68,493,3,0.0819,1084839,False,False
28,2020-07-08,108,RJ,São Gonçalo,3304904,city,5952,548.65284,157,490,3,0.0823,1084839,False,False
28,2020-07-07,107,RJ,São Gonçalo,3304904,city,5795,534.18065,112,487,9,0.084,1084839,False,False
28,2020-07-06,106,RJ,São Gonçalo,3304904,city,5683,523.85654,10,478,0,0.0841,1084839,False,False
28,2020-07-05,105,RJ,São Gonçalo,3304904,city,5673,522.93474,11,478,1,0.0843,1084839,False,False
27,2020-07-04,104,RJ,São Gonçalo,3304904,city,5662,521.92076,145,477,3,0.0842,1084839,False,False
27,2020-07-03,103,RJ,São Gonçalo,3304904,city,5517,508.55473,414,474,17,0.0859,1084839,False,False
27,2020-07-02,102,RJ,São Gonçalo,3304904,city,5103,470.39238,0,457,16,0.0896,1084839,False,False
27,2020-07-01,101,RJ,São Gonçalo,3304904,city,5103,470.39238,0,441,11,0.0864,1084839,False,False
27,2020-06-30,100,RJ,São Gonçalo,3304904,city,5103,470.39238,10,430,5,0.0843,1084839,False,False
27,2020-06-29,99,RJ,São Gonçalo,3304904,city,5093,469.47059,18,425,1,0.0834,1084839,False,False
27,2020-06-28,98,RJ,São Gonçalo,3304904,city,5075,467.81135,148,424,0,0.0835,1084839,False,False
26,2020-06-27,97,RJ,São Gonçalo,3304904,city,4927,454.16878,34,424,30,0.0861,1084839,False,False
26,2020-06-26,96,RJ,São Gonçalo,3304904,city,4893,451.03467,201,394,8,0.0805,1084839,False,False
26,2020-06-25,95,RJ,São Gonçalo,3304904,city,4692,432.50657,282,386,7,0.0823,1084839,False,False
26,2020-06-24,94,RJ,São Gonçalo,3304904,city,4410,406.51193,224,379,3,0.0859,1084839,False,False
26,2020-06-23,93,RJ,São Gonçalo,3304904,city,4186,385.86371,160,376,25,0.0898,1084839,False,False
26,2020-06-22,92,RJ,São Gonçalo,3304904,city,4026,371.11498,99,351,0,0.0872,1084839,False,False
26,2020-06-21,91,RJ,São Gonçalo,3304904,city,3927,361.9892,42,351,4,0.0894,1084839,False,False
25,2020-06-20,90,RJ,São Gonçalo,3304904,city,3885,358.11766,81,347,20,0.0893,1084839,False,False
25,2020-06-19,89,RJ,São Gonçalo,3304904,city,3804,350.65111,491,327,7,0.086,1084839,False,False
25,2020-06-18,88,RJ,São Gonçalo,3304904,city,3313,305.39094,17,320,20,0.0966,1084839,False,False
25,2020-06-17,87,RJ,São Gonçalo,3304904,city,3296,303.82389,190,300,7,0.091,1084839,False,False
25,2020-06-16,86,RJ,São Gonçalo,3304904,city,3106,286.30977,160,293,14,0.0943,1084839,False,False
25,2020-06-15,85,RJ,São Gonçalo,3304904,city,2946,271.56103,56,279,0,0.0947,1084839,False,False
25,2020-06-14,84,RJ,São Gonçalo,3304904,city,2890,266.39898,23,279,0,0.0965,1084839,False,False
24,2020-06-13,83,RJ,São Gonçalo,3304904,city,2867,264.27885,94,279,10,0.0973,1084839,False,False
24,2020-06-12,82,RJ,São Gonçalo,3304904,city,2773,255.61397,118,269,8,0.097,1084839,False,False
24,2020-06-11,81,RJ,São Gonçalo,3304904,city,2655,244.73678,33,261,3,0.0983,1084839,False,False
24,2020-06-10,80,RJ,São Gonçalo,3304904,city,2622,241.69485,7,258,6,0.0984,1084839,False,False
24,2020-06-09,79,RJ,São Gonçalo,3304904,city,2615,241.04959,-1,252,12,0.0964,1084839,False,False
24,2020-06-08,78,RJ,São Gonçalo,3304904,city,2616,241.14177,285,240,0,0.0917,1084839,False,False
24,2020-06-07,77,RJ,São Gonçalo,3304904,city,2331,214.87059,249,240,-2,0.103,1084839,False,False
23,2020-06-06,76,RJ,São Gonçalo,3304904,city,2082,191.91788,117,242,25,0.1162,1084839,False,False
23,2020-06-05,75,RJ,São Gonçalo,3304904,city,1965,181.13287,78,217,6,0.1104,1084839,False,False
23,2020-06-04,74,RJ,São Gonçalo,3304904,city,1887,173.94286,97,211,39,0.1118,1084839,False,False
