Player;Team;DYAR ?;Rk;YAR;Rk;DVOA;Rk;VOA;Runs;Yards;EYds;TD;FUM;Succ. Rate;Rk
;;;;;;;;;;;;;;;
E.Elliott;DAL;324;1;271;1;16.5;4;12.4%;301;1,358;1,637;12;3;56;4
C.McCaffrey;CAR;278;2;190;6;14.9;5;7.5%;287;1,387;1,468;15;1;47;28
M.Ingram;BAL;257;3;249;3;19.8;2;19.0%;202;1,018;1,194;10;2;60;1
A.Jones;GB;207;4;226;4;12.0;7;13.8%;236;1,091;1,202;16;2;56;5
K.Drake;2TM;202;5;176;8;19.7;3;16.0%;170;817;942;8;2;51;16
D.Henry;TEN;192;6;251;2;6.7;11;11.4%;303;1,542;1,391;16;5;50;17
R.Mostert;SF;191;7;188;7;26.8;1;26.3%;137;772;775;8;1;53;9
D.Cook;MIN;183;8;191;5;9.3;10;10.1%;250;1,135;1,178;13;3;49;23
N.Chubb;CLE;162;9;99;15;4.5;12;-0.6%;298;1,493;1,324;8;2;45;37
C.Carson;SEA;130;10;96;16;1.9;16;-0.8%;278;1,235;1,278;7;6;57;3
J.Jacobs;OAK;126;12;171;9;3.5;14;7.9%;242;1,152;1,096;7;1;51;14
G.Edwards;BAL;126;11;124;12;11.8;8;11.5%;133;710;736;2;2;56;6
L.Murray;NO;125;13;118;13;10.7;9;9.6%;146;637;760;5;0;60;2
J.Howard;PHI;113;14;105;14;14.2;6;12.7%;119;525;608;6;0;53;8
M.Mack;IND;102;15;155;10;1.0;18;5.8%;247;1,091;1,087;8;0;52;10
P.Lindsay;DEN;94;16;133;11;1.9;17;6.2%;224;1,011;928;7;0;50;19
J.Mixon;CIN;90;17;74;18;-0.9;20;-2.3%;278;1,137;1,156;5;0;46;30
S.Barkley;NYG;84;18;29;26;0.4;19;-5.5%;217;1,003;933;6;0;44;38
A.Kamara;NO;81;19;56;23;3.1;15;-0.5%;171;802;729;5;3;52;12
D.Singletary;BUF;75;20;65;19;3.7;13;2.1%;151;775;647;2;4;50;21
T.Gurley;LAR;58;21;56;22;-2.4;25;-2.7%;223;858;907;12;3;48;26
C.Hyde;HOU;54;22;90;17;-3.3;26;0.2%;245;1,086;968;6;4;52;13
R.Jones;TB;43;23;25;27;-2.3;24;-4.9%;172;724;660;6;2;45;33
A.Peterson;WAS;39;24;57;21;-4.1;27;-1.9%;211;900;799;5;2;47;27
M.Breida;SF;33;25;14;33;-1.8;22;-5.7%;123;623;462;1;2;46;31
J.Williams;GB;31;26;57;20;-1.5;21;4.3%;107;460;430;1;0;53;7
A.Mattison;MIN;24;27;10;34;-2.2;23;-6.0%;100;462;360;1;1;38;45
S.Michel;NE;23;28;1;37;-6.4;29;-8.5%;247;912;953;7;2;49;22
L.McCoy;KC;20;29;41;24;-4.1;28;0.6%;101;465;414;4;2;49;25
M.Sanders;PHI;14;30;9;35;-6.6;30;-7.3%;179;818;662;3;2;45;34
M.Gordon;LAC;8;32;38;25;-7.5;33;-3.4%;162;615;639;8;3;51;15
Dam.Williams;KC;8;31;23;29;-6.8;31;-3.7%;111;500;412;5;1;50;18
D.Washington;OAK;7;33;22;30;-7.0;32;-4.0%;108;387;422;3;0;50;19
L.Fournette;JAX;0;34;-7;39;-8.6;34;-9.2%;265;1,152;980;3;0;42;39
A.Ekeler;LAC;-8;35;24;28;-10.0;35;-4.5%;132;559;485;3;1;45;32
R.Freeman;DEN;-12;36;21;31;-11.0;36;-4.7%;132;500;431;3;0;41;42
J.Conner;PIT;-13;37;19;32;-11.3;38;-4.6%;115;464;389;4;1;45;35
B.Snell;PIT;-14;38;6;36;-11.7;39;-7.2%;108;426;364;2;1;49;24
D.Freeman;ATL;-19;39;-45;42;-11.1;37;-14.6%;184;661;609;2;2;41;41
K.Johnson;DET;-26;40;-10;40;-13.7;41;-10.5%;113;403;385;3;1;52;11
T.Coleman;SF;-38;41;-3;38;-15.3;43;-9.2%;137;544;425;6;0;39;44
D.Montgomery;CHI;-46;42;-41;41;-13.0;40;-12.5%;242;889;820;6;2;46;29
F.Gore;BUF;-50;43;-92;45;-15.2;42;-20.9%;166;599;561;3;0;45;36
L.Bell;NYJ;-76;44;-54;43;-16.6;44;-14.3%;246;790;695;3;0;42;40
P.Barber;TB;-140;45;-82;44;-29.8;45;-21.1%;154;470;341;7;1;40;43
